match_id,player,row,net_pts,pts_won,net_winner,induced_forced,net_unforced,passed_at_net,passing_shot_induced_forced,total_shots
20140122-M-Australian_Open-QF-Grigor_Dimitrov-Rafael_Nadal,1,Approach,19,11,8,2,1,4,2,135
20140122-M-Australian_Open-QF-Grigor_Dimitrov-Rafael_Nadal,1,NetPointsRallies,29,18,11,6,3,5,2,212
20140122-M-Australian_Open-QF-Grigor_Dimitrov-Rafael_Nadal,1,ApproachRallies,16,9,6,2,0,4,2,127
20140122-M-Australian_Open-QF-Grigor_Dimitrov-Rafael_Nadal,2,NetPoints,31,29,20,8,1,1,0,222
20140122-M-Australian_Open-QF-Grigor_Dimitrov-Rafael_Nadal,2,Approach,17,17,11,6,0,0,0,114
20140122-M-Australian_Open-QF-Grigor_Dimitrov-Rafael_Nadal,2,NetPointsRallies,30,28,19,8,1,1,0,219
20140122-M-Australian_Open-QF-Grigor_Dimitrov-Rafael_Nadal,2,ApproachRallies,16,16,10,6,0,0,0,111
20140118-M-Australian_Open-R32-Gael_Monfils-Rafael_Nadal,1,NetPoints,13,3,3,0,2,3,0,122
20140118-M-Australian_Open-R32-Gael_Monfils-Rafael_Nadal,1,Approach,9,2,2,0,1,3,0,68
20140118-M-Australian_Open-R32-Gael_Monfils-Rafael_Nadal,1,NetPointsRallies,9,2,2,0,2,2,0,111
20140118-M-Australian_Open-R32-Gael_Monfils-Rafael_Nadal,1,ApproachRallies,5,1,1,0,1,2,0,57
